AccID,log2FC,Pvalue,FDR,S2_1,S2_2,S2_3,NC_1,NC_2,NC_3,EnsemblID
5S_rRNA,2.292085717,0.433858009,1,1,2,0,0,0,0,ENSG00000201285
5S_rRNA,2.292085717,0.433858009,1,1,2,0,0,0,0,ENSG00000212595
5S_rRNA,2.292085717,0.433858009,1,1,2,0,0,0,0,ENSG00000252830
5S_rRNA,2.292085717,0.433858009,1,1,2,0,0,0,0,ENSG00000274059
5S_rRNA,2.292085717,0.433858009,1,1,2,0,0,0,0,ENSG00000274097
5S_rRNA,2.292085717,0.433858009,1,1,2,0,0,0,0,ENSG00000274408
5S_rRNA,2.292085717,0.433858009,1,1,2,0,0,0,0,ENSG00000274663
5S_rRNA,2.292085717,0.433858009,1,1,2,0,0,0,0,ENSG00000274759
5S_rRNA,2.292085717,0.433858009,1,1,2,0,0,0,0,ENSG00000275305
5S_rRNA,2.292085717,0.433858009,1,1,2,0,0,0,0,ENSG00000276442
5S_rRNA,2.292085717,0.433858009,1,1,2,0,0,0,0,ENSG00000276861
5S_rRNA,2.292085717,0.433858009,1,1,2,0,0,0,0,ENSG00000277049
5S_rRNA,2.292085717,0.433858009,1,1,2,0,0,0,0,ENSG00000277411
5S_rRNA,2.292085717,0.433858009,1,1,2,0,0,0,0,ENSG00000277418
5S_rRNA,2.292085717,0.433858009,1,1,2,0,0,0,0,ENSG00000277488
5S_rRNA,2.292085717,0.433858009,1,1,2,0,0,0,0,ENSG00000278457
5S_rRNA,2.292085717,0.433858009,1,1,2,0,0,0,0,ENSG00000283433
5S_rRNA,2.292085717,0.433858009,1,1,2,0,0,0,0,ENSG00000284736
5_8S_rRNA,0.40799522,0.159195125,0.250983305,89,88,99,79,33,72,ENSG00000275877
5_8S_rRNA,0.40799522,0.159195125,0.250983305,89,88,99,79,33,72,ENSG00000276871
5_8S_rRNA,0.40799522,0.159195125,0.250983305,89,88,99,79,33,72,ENSG00000278294
5_8S_rRNA,0.40799522,0.159195125,0.250983305,89,88,99,79,33,72,ENSG00000283274
5_8S_rRNA,0.40799522,0.159195125,0.250983305,89,88,99,79,33,72,ENSG00000283291
5_8S_rRNA,0.40799522,0.159195125,0.250983305,89,88,99,79,33,72,ENSG00000283568
A1BG-AS1,-0.836467548,0.462160864,0.583823951,4,1,2,1,5,6,ENSG00000268895
A2ML1-AS1,0.816399412,0.841422154,1,1,0,0,0,0,0,ENSG00000256661
A3GALT2,-0.145370721,0.966730975,1,0,0,1,0,1,0,ENSG00000184389
A4GALT,-0.529912086,0.308811669,0.426140391,10,19,9,12,21,17,ENSG00000128274
AAAS,-0.649662915,3.26E-11,1.49E-10,382,364,391,435,596,598,ENSG00000094914
AACS,-1.069938883,1.08E-37,1.19E-36,372,433,432,648,861,853,ENSG00000081760
AADAT,-0.551730897,0.00867482,0.01945482,71,72,80,80,101,117,ENSG00000109576
AAGAB,-2.175375434,1.09E-148,5.50E-147,280,303,359,1080,1351,1436,ENSG00000103591
AAK1,-0.413718281,2.35E-17,1.40E-16,1967,2411,2386,2268,2984,2931,ENSG00000115977
AAMDC,0.414140418,0.30131289,0.417989886,26,35,35,14,17,35,ENSG00000087884
AAMP,-0.347110335,2.22E-12,1.07E-11,2384,2776,2759,2559,3118,3474,ENSG00000127837
AANAT,-0.45341362,0.513993107,0.632311315,6,6,9,8,12,6,ENSG00000129673
AAR2,0.391139649,2.64E-08,1.02E-07,965,1156,1155,608,832,833,ENSG00000131043
AARS1,0.214422424,2.53E-10,1.11E-09,7329,8509,8342,5396,6771,6746,NA
AARS2,-0.044347577,0.645006474,0.744744869,412,500,461,366,441,478,ENSG00000124608
AARSD1,-0.520894808,0.199149007,0.300872601,26,23,15,29,29,25,ENSG00000266967
AARSD1P1,3.741133693,0.003304913,0.007952999,5,15,11,2,0,0,NA
AASDH,0.502364207,6.02E-06,1.97E-05,443,499,486,299,297,313,ENSG00000157426
AASDHPPT,-0.142854849,0.01427221,0.030559549,1448,1807,1811,1395,1884,1801,ENSG00000149313
AASS,-0.051776201,0.806032556,0.868367044,94,97,83,77,83,98,ENSG00000008311
AATBC,4.12395146,7.73E-82,1.87E-80,416,511,396,19,23,27,ENSG00000215458
AATF,-0.468478124,8.86E-26,7.07E-25,2438,2764,2808,2746,3594,3748,ENSG00000275700
AATK,1.270108264,4.72E-12,2.25E-11,165,187,191,62,72,70,ENSG00000181409
ABAT,2.752219242,5.88E-69,1.15E-67,416,437,446,55,59,61,ENSG00000183044
ABBA01000935.2,-1.223704001,0.665195075,1,0,1,0,2,0,0,ENSG00000283544
ABCA1,0.461611864,0.081406944,0.14249608,80,86,105,65,73,38,ENSG00000165029
ABCA10,-0.526605376,1.15E-12,5.61E-12,597,734,705,756,959,946,ENSG00000154263
ABCA11P,0.905984408,0.052599499,0.097718338,27,24,24,14,10,12,ENSG00000251595
ABCA15P,-0.886815262,0.114972749,0.19113006,6,14,10,9,26,16,NA
ABCA17P,-0.03689246,0.950533591,0.968184852,14,9,10,9,13,9,ENSG00000238098
ABCA2,0.372555567,2.77E-10,1.20E-09,1718,1857,1765,1097,1341,1307,ENSG00000107331
ABCA3,0.276693643,5.26E-05,0.000157574,1042,1234,1195,744,976,880,ENSG00000167972
ABCA4,0.108078958,0.891324884,0.929913115,4,9,7,3,8,6,ENSG00000198691
ABCA5,0.204856329,0.180603506,0.277725595,212,199,207,119,178,195,ENSG00000154265
ABCA6,0.997945423,1.03E-05,3.28E-05,111,116,119,42,69,47,ENSG00000154262
ABCA7,-0.015191996,0.875754174,0.919458925,567,600,552,463,614,501,ENSG00000064687
ABCA8,-0.06047425,0.69374499,0.78303572,194,222,216,199,223,171,ENSG00000141338
ABCA9,2.808940433,0.000702433,0.001858711,13,19,14,1,3,2,ENSG00000154258
ABCB10,-0.859081387,1.62E-37,1.77E-36,732,905,848,1150,1536,1406,ENSG00000135776
ABCB6,-0.215823491,0.639188879,0.739649543,19,16,18,11,21,25,ENSG00000115657
ABCB7,-0.318279847,0.000111189,0.000321369,604,755,715,614,923,819,ENSG00000131269
ABCB8,0.169716206,0.019017634,0.03962756,881,978,942,666,810,783,ENSG00000197150
ABCB9,-0.034561754,0.733474756,0.814510199,403,424,404,326,424,397,ENSG00000150967
ABCC1,0.155272845,0.003386429,0.008133183,1828,2023,1916,1317,1702,1692,ENSG00000103222
ABCC10,0.476282575,3.14E-09,1.29E-08,857,944,862,521,606,609,ENSG00000124574
ABCC2,-0.50801439,5.69E-27,4.71E-26,1947,2168,2069,2235,2932,2832,ENSG00000023839
ABCC3,0.838757443,3.92E-05,0.000119172,132,139,129,48,73,84,ENSG00000108846
ABCC4,-0.919919093,1.01E-31,9.43E-31,518,641,671,855,1200,1092,ENSG00000125257
ABCC5,0.42423565,5.99E-22,4.23E-21,4742,5001,4802,2755,3541,3576,ENSG00000114770
ABCC5-AS1,1.357249944,0.289437989,0.404340323,3,4,5,3,0,1,ENSG00000223882
ABCC6,2.015781874,0.032076085,0.063110348,7,14,6,2,2,2,ENSG00000091262
ABCC6P1,2.429318043,0.000105522,0.000306112,27,23,21,4,2,6,ENSG00000256340
ABCC6P2,2.319189959,0.009132017,0.020390986,11,9,13,2,1,3,ENSG00000255277
ABCC8,2.417517621,0.007216745,0.016408457,17,7,12,4,1,1,ENSG00000006071
ABCD1,0.580443511,9.58E-07,3.35E-06,327,424,412,200,270,235,ENSG00000101986
ABCD3,-0.005415653,0.925331979,0.951519276,1385,1674,1571,1156,1574,1496,ENSG00000117528
ABCD4,0.55320001,1.01E-10,4.50E-10,726,816,755,409,477,536,ENSG00000119688
ABCE1,-0.909534047,6.92E-66,1.29E-64,1683,1789,1954,2474,3481,3342,ENSG00000164163
ABCF1,0.228179251,7.98E-08,3.00E-07,4485,5189,5355,3191,4129,4349,ENSG00000204574
ABCF2,-0.088968277,0.354665489,0.475430363,506,626,604,414,595,678,ENSG00000033050
ABCF3,0.431040755,1.33E-13,6.81E-13,1622,1742,1727,950,1273,1215,ENSG00000161204
ABCG1,-0.008084398,0.972333563,0.981593035,66,70,83,57,68,75,ENSG00000160179
ABCG2,-2.274938574,0.000276017,0.000763922,5,4,4,18,21,18,ENSG00000118777
ABCG4,-0.360790446,0.302600426,0.419327514,32,34,24,37,32,35,ENSG00000172350
ABHD1,0.794880872,0.101664647,0.172134336,20,31,19,14,9,13,ENSG00000143994
ABHD10,-1.323231044,2.67E-77,5.99E-76,547,667,696,1151,1603,1598,ENSG00000144827
ABHD11,0.674784053,3.18E-17,1.88E-16,795,993,925,430,542,571,ENSG00000106077
ABHD12,-0.447038093,1.45E-12,7.08E-12,953,1035,1025,1062,1306,1365,ENSG00000100997
ABHD12B,-0.524664115,0.373248042,0.49474718,17,6,8,13,12,16,ENSG00000131969
ABHD13,-0.799777002,1.05E-13,5.43E-13,252,267,275,354,460,443,ENSG00000139826
ABHD14A,0.614252964,0.109478546,0.183462679,46,31,39,22,15,32,ENSG00000248487
ABHD14B,0.37401027,5.53E-05,0.000165426,599,679,719,348,512,548,ENSG00000114779
ABHD15,0.3711806,0.002033485,0.005051069,288,353,378,193,262,261,ENSG00000168792
ABHD16A,0.279892514,0.597276337,0.704501082,15,20,12,11,10,14,ENSG00000204427
ABHD17A,0.440161714,2.71E-15,1.50E-14,2014,2302,2198,1297,1563,1490,ENSG00000129968
ABHD17AP1,0.647389698,0.400994524,0.523904086,4,17,8,8,4,4,ENSG00000198658
ABHD17AP3,-2.488964454,0.391871066,1,0,0,0,0,2,1,ENSG00000250536
ABHD17AP6,0.78186876,0.605831244,0.712039813,0,1,7,2,1,1,ENSG00000226981
ABHD17B,-1.077097084,4.51E-32,4.26E-31,301,382,361,557,725,718,ENSG00000107362
ABHD17C,-1.335059615,5.92E-10,2.53E-09,43,73,56,119,130,142,ENSG00000136379
ABHD18,-0.176882094,0.126343439,0.207251363,265,302,284,237,320,319,ENSG00000164074
ABHD2,-1.170488745,1.77E-83,4.38E-82,793,958,878,1510,1969,1896,ENSG00000140526
ABHD3,-0.262968056,0.005882695,0.013589673,458,554,450,440,561,595,ENSG00000158201
ABHD4,1.733691754,3.45E-146,1.70E-144,1711,1997,1929,424,532,585,ENSG00000100439
ABHD5,-0.256126258,0.027980875,0.055911037,302,309,332,292,404,328,ENSG00000011198
ABHD6,-0.072085592,0.607963337,0.713822768,192,196,209,155,207,210,ENSG00000163686
ABHD8,0.350742404,0.010064425,0.022247675,236,271,241,152,199,182,ENSG00000127220
ABI1,0.088487482,0.160866225,0.25318346,1089,1266,1212,830,1120,1103,ENSG00000136754
ABI1P1,-1.165087871,0.566349651,1,0,2,0,1,1,2,ENSG00000271484
ABI2,-1.146198122,1.33E-101,4.12E-100,1057,1196,1169,1952,2513,2415,ENSG00000138443
ABI3BP,-0.033402887,0.967208442,0.978524714,7,3,8,4,8,5,ENSG00000154175
ABITRAM,-0.479137723,3.68E-06,1.23E-05,300,377,399,363,501,500,NA
ABL1,0.260742806,1.02E-07,3.82E-07,2332,2649,2472,1581,2024,2052,ENSG00000097007
ABL2,-0.124845242,0.028612376,0.057017885,1352,1538,1486,1259,1556,1514,ENSG00000143322
ABLIM1,-1.303644704,1.11E-54,1.69E-53,415,521,432,908,1061,1088,ENSG00000099204
ABLIM2,1.9077522,2.14E-07,7.81E-07,42,61,76,13,15,15,ENSG00000163995
ABLIM3,0.332110204,0.725561631,0.80856885,5,7,3,2,3,6,ENSG00000173210
ABR,-0.834431624,3.80E-31,3.49E-30,583,666,656,892,1108,1082,ENSG00000159842
ABR-AS1,-0.145370721,0.966730975,1,0,0,1,0,1,0,NA
ABRACL,-0.486680039,0.000161232,0.000457904,201,289,247,236,339,366,ENSG00000146386
ABRAXAS1,0.352361063,0.05557887,0.102406188,137,138,130,75,108,107,ENSG00000163322
ABRAXAS2,0.233929156,0.002800712,0.006810289,738,878,894,520,685,737,ENSG00000165660
ABT1,0.441155708,1.05E-10,4.68E-10,1049,1222,1242,683,825,838,ENSG00000146109
ABTB1,0.010302586,0.932373546,0.956224963,250,304,298,210,295,264,ENSG00000114626
ABTB2,0.174895378,0.11520226,0.191453861,359,425,357,263,337,318,ENSG00000166016
AC000032.1,0.776093259,0.780666357,1,1,0,1,0,1,0,ENSG00000260246
AC000041.1,1.666792523,0.631900534,1,0,1,1,0,0,0,ENSG00000242156
AC000068.2,-0.047978244,0.984864232,1,1,1,0,0,2,0,ENSG00000273212
AC000078.1,-0.275100548,0.667378041,0.763420098,15,4,11,7,17,10,ENSG00000232926
AC000120.1,-0.104375011,0.879458155,0.921850748,9,10,6,4,8,13,ENSG00000243107
AC000123.1,-0.381206057,0.431871611,0.55391504,17,18,11,19,21,14,ENSG00000224138
AC000123.2,0.33000444,0.686773458,0.777642303,6,4,14,1,7,10,ENSG00000279265
AC000123.3,-1.502348741,3.80E-14,2.00E-13,52,69,58,131,177,152,ENSG00000280347
AC001226.1,0.776093259,0.780666357,1,1,0,1,0,1,0,ENSG00000274898
AC001226.2,0.309976613,0.804683985,0.867133313,3,2,3,1,2,3,ENSG00000283208
AC002044.1,-1.900005531,0.608580758,1,0,0,0,0,2,0,ENSG00000272330
AC002056.1,0.109086716,0.86952414,0.915006184,13,7,8,6,8,10,ENSG00000213683
AC002056.2,-1.10715394,0.786137378,1,0,0,0,1,0,0,ENSG00000254499
AC002059.1,0.286758336,0.867952734,0.914005339,2,1,1,1,1,1,ENSG00000273216
AC002064.2,3.458835212,0.009151968,0.020433465,13,7,4,1,1,0,ENSG00000234459
AC002066.1,0.689676168,0.507491631,0.626340002,6,4,4,2,1,5,ENSG00000237813
AC002070.1,-1.902892578,0.607701878,1,0,0,0,0,0,2,ENSG00000248636
AC002094.4,0.244338987,0.853817903,0.904998546,4,4,0,3,1,2,ENSG00000277450
AC002094.5,-1.464532642,0.175332719,0.271190128,1,1,4,4,6,5,ENSG00000279532
AC002116.2,-1.12446526,0.094343535,0.161349178,7,5,5,9,14,11,ENSG00000267698
AC002128.1,1.278548908,0.024716695,0.050165972,22,16,18,7,7,7,ENSG00000268947
AC002128.2,0.816399412,0.841422154,1,1,0,0,0,0,0,ENSG00000271366
AC002306.1,-0.541724504,0.596174165,0.703539755,5,2,3,6,1,6,ENSG00000259242
AC002310.2,-0.659357278,0.600308491,0.706980837,3,1,2,1,2,6,ENSG00000239791
AC002310.3,-3.225947774,0.184279932,1,0,0,0,0,1,4,ENSG00000260494
AC002310.6,-0.346360998,0.284448486,0.399089407,34,37,30,38,41,37,ENSG00000278922
AC002347.1,-0.311934111,0.807885836,0.869818491,1,4,2,1,1,6,ENSG00000261433
AC002347.2,0.570311368,0.748713146,0.826899675,4,1,0,2,0,1,ENSG00000263388
AC002350.2,-0.729152789,0.229604973,0.337699416,7,13,6,11,10,18,ENSG00000278993
AC002378.1,0.566385553,0.718718217,0.803393323,2,0,5,3,1,0,ENSG00000225676
AC002386.1,1.806511714,0.617796547,1,2,0,0,0,0,0,ENSG00000230941
AC002401.1,-1.533539901,0.565891404,1,1,0,0,0,0,3,ENSG00000236472
AC002401.2,-1.905162274,0.576449156,1,0,0,0,0,1,1,ENSG00000250282
AC002401.3,-0.951652497,0.751048943,1,0,0,1,0,0,2,ENSG00000275025
AC002401.4,-5.236138202,0.000539547,0.001446972,0,0,0,5,7,7,ENSG00000276851
AC002428.2,0.816399412,0.841422154,1,1,0,0,0,0,0,ENSG00000254239
AC002470.1,0.326160656,0.620831864,0.724802383,7,15,11,11,5,7,ENSG00000272829
AC002472.1,1.806511714,0.617796547,1,2,0,0,0,0,0,ENSG00000226872
AC002519.1,0.848473487,0.323007907,0.441667142,8,6,9,1,3,8,ENSG00000259810
AC002542.1,0.816399412,0.841422154,1,0,1,0,0,0,0,ENSG00000227532
AC002543.1,-0.500422032,0.754557163,0.830624357,1,3,0,2,2,1,ENSG00000235945
AC002545.1,-2.595324559,0.356765092,1,0,0,0,1,0,2,ENSG00000267184
AC002550.2,0.172665346,0.865277462,0.91223371,2,6,5,5,4,1,ENSG00000276571
AC002551.1,-2.692715563,0.325606029,1,0,0,0,2,0,1,ENSG00000261736
AC002553.1,0.39135212,0.294451378,0.41020046,34,38,28,16,30,24,ENSG00000227782
AC002553.4,-0.517992088,0.30682215,0.423978718,11,15,12,16,19,14,ENSG00000275413
AC002558.1,-0.015924718,0.98938393,0.992579992,7,0,4,0,4,7,ENSG00000239291
AC002558.2,-0.760769877,0.738796972,1,0,0,2,1,2,0,ENSG00000261872
AC002558.3,-2.659817163,0.012430347,0.026987174,1,2,1,6,11,6,ENSG00000262265
AC002563.1,-0.931379772,0.580898632,0.690913364,0,1,2,2,1,2,ENSG00000255692
AC002984.1,3.298618698,0.118779551,1,2,2,2,0,0,0,ENSG00000267005
AC003002.2,-0.228497794,0.88104517,0.922680883,1,3,1,3,2,0,ENSG00000268533
AC003002.3,3.176786041,0.067569047,0.121426039,1,6,4,0,0,1,ENSG00000269533
AC003005.2,-1.105686549,0.489000529,0.609040989,1,1,1,1,4,1,ENSG00000268266
AC003043.1,0.816399412,0.841422154,1,0,0,1,0,0,0,ENSG00000267211
AC003070.1,1.803218989,0.436704693,1,3,1,0,0,0,1,ENSG00000267344
AC003070.2,0.442971323,0.836576852,1,2,0,1,1,0,1,ENSG00000267446
AC003072.1,-0.627532097,0.304465001,0.421344011,11,4,12,12,11,15,ENSG00000250318
AC003092.1,1.666792523,0.631900534,1,0,1,1,0,0,0,ENSG00000236453
AC003101.2,0.297437388,0.781623207,0.850722726,3,7,3,0,6,4,ENSG00000278546
AC003102.1,-0.124092431,0.764430571,0.837924741,28,28,16,24,20,27,ENSG00000260793
AC003682.1,-0.01182127,0.989383135,0.992579992,6,4,5,3,8,3,ENSG00000268392
AC003688.2,0.816399412,0.841422154,1,0,0,1,0,0,0,ENSG00000263342
AC003965.1,-0.05439145,0.981903944,1,1,1,0,0,1,1,ENSG00000263280
AC003991.1,3.749625078,0.016161017,0.034208547,5,5,6,0,0,1,ENSG00000228113
AC004000.1,-1.232285622,0.390889052,0.513072421,1,1,2,0,6,3,ENSG00000237903
AC004024.1,1.218949633,0.51841001,0.636254075,1,3,1,0,1,1,ENSG00000257624
AC004034.1,-1.041814358,0.287151926,0.402012697,1,3,5,8,4,4,ENSG00000262482
AC004039.1,0.409850437,0.505015385,0.624122253,15,10,11,6,11,8,ENSG00000230612
AC004057.1,-0.002485525,0.976606485,0.984419337,599,778,720,558,702,641,ENSG00000196656
AC004067.1,-1.692336697,0.047680046,0.089735832,1,5,3,8,11,7,ENSG00000273447
AC004069.1,2.908301253,0.040882089,0.07844153,7,4,5,0,1,1,ENSG00000251259
AC004076.1,0.78537902,0.723931811,0.807583549,4,0,0,2,0,0,ENSG00000268163
AC004076.2,-0.035173024,0.9338096,0.957215224,25,17,26,16,28,20,ENSG00000276449
AC004080.2,1.154155488,0.529681131,0.645774021,2,2,1,1,0,1,ENSG00000253508
AC004129.2,-1.10715394,0.786137378,1,0,0,0,1,0,0,ENSG00000234406
AC004134.1,-1.1645033,0.566580795,1,0,2,0,1,2,1,ENSG00000267592
AC004148.2,0.760011967,0.000159765,0.000453912,164,147,141,85,79,77,ENSG00000263272
AC004156.1,0.877018244,0.189280447,0.28865301,8,13,17,3,10,6,ENSG00000267666
AC004223.1,-0.071301477,0.960562921,0.974663495,4,2,0,1,4,1,ENSG00000243423
AC004223.2,-0.16294543,0.902930362,0.937288639,1,2,3,2,2,2,ENSG00000267457
AC004223.4,-0.146709912,0.912431601,0.94371766,2,2,2,2,3,1,ENSG00000273687
AC004224.1,1.731768197,0.611333504,1,1,1,0,0,0,0,ENSG00000240311
AC004233.1,0.741215523,0.708932537,0.79543657,2,1,1,2,0,0,ENSG00000262362
AC004233.3,-0.174664523,0.76737403,0.840190544,12,13,7,9,11,13,ENSG00000272079
AC004233.4,0.506794814,0.818123527,1,1,2,0,0,1,1,ENSG00000274367
AC004241.2,1.738881077,0.432497239,1,1,2,1,0,0,1,ENSG00000274902
AC004241.3,-0.471184041,0.644605689,0.744360065,4,1,5,2,7,4,ENSG00000276390
AC004241.5,1.126596034,0.36142053,0.482433724,6,2,4,2,0,3,ENSG00000280054
AC004253.1,0.37740584,0.650590123,0.749230282,6,9,6,2,3,10,ENSG00000263990
AC004257.1,-1.902892578,0.607701878,1,0,0,0,0,0,2,ENSG00000269635
AC004263.2,-3.219708091,0.027036089,0.05430373,2,0,0,11,2,3,ENSG00000275936
AC004264.2,0.955429172,0.351977594,0.472489099,4,6,5,2,2,3,ENSG00000279699
AC004381.1,0.816399412,0.841422154,1,0,1,0,0,0,0,ENSG00000260510
AC004381.2,-1.551268347,0.302783254,0.419449064,2,1,0,3,1,4,ENSG00000283399
AC004449.1,0.652451093,0.161542335,0.254066226,16,34,25,12,11,20,ENSG00000261204
AC004453.2,4.411376394,0.008598743,0.019310899,4,4,5,0,0,0,ENSG00000279853
AC004461.1,-1.678181207,0.378098045,0.499896202,2,0,0,2,0,4,ENSG00000237347
AC004466.1,-2.444489372,0.247157134,0.357950491,0,0,1,3,0,2,ENSG00000268069
AC004466.2,-1.569328781,0.428386056,0.550749958,0,0,2,3,2,0,ENSG00000274737
AC004466.3,-2.058059523,0.526053564,1,0,0,0,1,1,0,ENSG00000276691
AC004471.1,-0.368369933,0.650208789,0.748892322,9,4,3,6,6,7,ENSG00000223461
AC004471.2,-0.266160105,0.893000524,1,0,2,1,2,1,0,ENSG00000272682
AC004477.3,0.566731043,0.391553533,0.513822257,8,16,10,4,7,10,ENSG00000278765
AC004486.1,1.291192273,0.603454775,1,0,2,1,1,0,0,ENSG00000257905
AC004492.1,-0.065322022,0.917163124,0.946566643,12,15,5,6,14,11,ENSG00000272072
AC004556.1,-0.43371274,0.090644787,0.156027912,52,133,87,97,89,143,ENSG00000276345
AC004584.1,-1.1645033,0.566580795,1,0,2,0,1,2,1,ENSG00000262298
AC004584.2,-1.223704001,0.665195075,1,0,1,0,2,0,0,ENSG00000262623
AC004584.3,1.82702584,0.190090386,0.289607753,6,1,5,2,0,1,ENSG00000263120
AC004623.1,2.341291441,0.417499227,1,2,1,0,0,0,0,ENSG00000279488
AC004637.1,-1.707757268,0.236866253,0.345956209,2,0,1,3,2,4,ENSG00000267304
AC004672.1,-0.222356483,0.906183507,1,1,1,1,2,1,0,ENSG00000249028
AC004672.2,0.835115109,0.77644495,1,2,0,0,0,1,0,ENSG00000267285
AC004674.1,1.225628258,0.528196517,0.644569883,1,2,2,0,2,0,ENSG00000235592
AC004678.1,-0.467264948,0.58210596,0.691974577,5,5,4,3,10,5,ENSG00000275468
AC004678.2,-2.39982359,0.008502817,0.019111836,1,3,2,6,10,13,ENSG00000279653
AC004691.1,-1.566652707,0.392551618,0.5149175,0,1,1,3,1,1,ENSG00000229263
AC004692.1,-2.036065525,0.247401709,0.358069186,1,0,1,0,6,2,ENSG00000213717
AC004692.2,1.806511714,0.617796547,1,2,0,0,0,0,0,ENSG00000228680
AC004702.1,0.816399412,0.841422154,1,0,1,0,0,0,0,ENSG00000263494
AC004706.1,0.652541888,0.53674096,0.651965966,8,4,2,4,1,3,ENSG00000261996
AC004706.4,0.762150789,3.36E-07,1.21E-06,265,249,242,118,141,147,ENSG00000282936
AC004707.1,2.313535035,0.245379538,0.355880909,1,3,2,0,0,1,ENSG00000253102
AC004771.2,0.547579728,0.802480069,1,2,1,0,0,1,1,ENSG00000234203
AC004771.3,0.573686134,0.472292394,0.593007626,7,5,12,2,8,5,ENSG00000262227
AC004775.1,0.93833877,0.633209574,1,2,1,1,0,1,1,ENSG00000272203
AC004777.1,-1.222117311,0.662018398,1,1,0,0,2,0,0,ENSG00000279370
AC004784.1,3.443917864,0.001305228,0.003327583,8,13,16,2,1,0,ENSG00000282943
AC004801.1,0.090100919,0.940781732,0.96173719,2,4,3,0,5,3,ENSG00000226138
AC004801.2,0.72338396,0.064718565,0.116974901,34,32,38,12,28,18,ENSG00000240399
AC004801.5,-0.954682927,0.733960249,1,0,0,1,0,1,1,ENSG00000258203
AC004801.6,-1.239557025,0.168192828,0.262671,1,5,5,3,16,5,ENSG00000276814
AC004803.1,1.480812708,0.000190686,0.000537813,44,50,34,10,15,17,ENSG00000250132
AC004805.3,0.816399412,0.841422154,1,0,1,0,0,0,0,ENSG00000271587
AC004812.2,-0.018720978,0.960677941,0.974735348,23,33,26,23,23,29,ENSG00000277283
AC004816.2,0.520618447,0.76793986,0.840591101,2,3,0,2,1,0,ENSG00000275630
AC004825.2,-1.491738342,0.132743362,0.215854803,3,3,1,5,4,9,ENSG00000274818
AC004830.1,-0.134615128,0.934019516,0.957245193,1,1,2,1,2,1,ENSG00000228204
AC004832.4,-1.630581535,0.1498061,0.238620566,1,1,3,4,5,5,ENSG00000272689
AC004832.5,-1.968533879,0.008382446,0.018868204,5,3,3,18,12,8,ENSG00000273350
AC004832.6,-1.234215106,0.557440141,1,0,2,0,2,2,0,ENSG00000273428
AC004834.1,1.268818751,0.12614404,0.206985867,11,8,7,2,4,4,ENSG00000284523
AC004837.2,-1.649380256,0.220333843,0.326789778,0,3,1,4,6,1,ENSG00000228554
AC004839.1,-0.445027439,0.732901501,0.814047859,1,3,2,4,1,2,ENSG00000272854
AC004840.2,1.654584177,0.663351797,1,0,2,0,0,0,0,ENSG00000271163
AC004846.2,-0.13015111,0.926085286,0.951856643,1,4,1,1,1,4,ENSG00000258944
AC004854.1,3.875212225,0.013714351,0.029493946,10,2,5,1,0,0,ENSG00000230160
AC004854.2,0.478853832,0.389473562,0.511701844,10,18,18,7,13,10,ENSG00000272768
AC004866.1,1.675682358,0.657154389,1,0,0,2,0,0,0,ENSG00000223514
AC004877.1,1.654125359,0.130906451,0.213465999,5,6,7,3,0,2,ENSG00000273419
AC004877.2,0.618363701,0.348095123,0.468303689,12,14,13,1,12,11,ENSG00000280149
AC004884.2,-1.646965372,0.2760089,0.389453909,1,2,0,5,1,2,ENSG00000242154
AC004890.1,-1.769034264,0.309549387,0.426864539,1,1,0,3,1,2,ENSG00000239719
AC004890.2,-0.142137657,0.940612426,1,1,0,2,1,1,1,ENSG00000244560
AC004890.3,0.079061178,0.942032091,0.962425055,0,8,6,7,3,1,ENSG00000271664
AC004895.1,1.423326149,0.091726086,0.157606187,7,12,10,1,7,2,ENSG00000231704
AC004898.1,-0.643780001,0.520181931,0.637612518,4,3,2,3,5,5,ENSG00000236018
AC004908.1,0.176629611,0.763513265,0.837460454,16,22,7,17,8,10,ENSG00000272240
AC004908.2,0.072441145,0.868304604,0.914332212,15,22,28,15,20,21,ENSG00000272812
AC004908.3,-0.711241049,0.525494582,0.64214729,3,4,1,3,1,8,ENSG00000273402
AC004917.1,-1.656344396,0.15524026,0.245855615,3,0,2,7,4,3,ENSG00000243797
AC004918.1,0.89941164,0.371728488,0.493207362,6,7,3,1,4,3,ENSG00000244701
AC004918.3,0.704572378,0.0060501,0.013942799,68,78,85,41,42,45,ENSG00000270157
AC004923.4,0.452187045,0.574100657,0.685312652,8,9,5,2,5,8,ENSG00000255306
AC004941.2,-1.10715394,0.786137378,1,0,0,0,1,0,0,ENSG00000231397
AC004943.1,-0.285620361,0.610401949,0.715885483,6,21,12,10,13,20,ENSG00000259209
AC004943.3,-3.057052561,0.193178255,1,0,0,0,2,1,1,ENSG00000279206
AC004948.1,3.3018717,0.121719459,1,2,1,3,0,0,0,ENSG00000272745
AC004951.1,-0.105256187,0.858515714,0.908231613,13,8,12,12,10,10,ENSG00000228434
AC004951.3,1.832537215,0.118499398,0.196234788,5,3,8,2,1,1,ENSG00000241057
AC004951.4,5.851680444,2.40E-05,7.42E-05,14,11,10,0,0,0,ENSG00000273432
AC004975.2,-3.411558118,0.136729908,1,0,0,0,3,0,2,ENSG00000229660
AC004980.2,1.42854173,0.106826937,0.179647191,7,10,7,3,3,2,ENSG00000214243
