AccID,log2FC,Pvalue,FDR,S2_1,S2_2,S2_3,NC_1,NC_2,NC_3,EnsemblID
USP39,-0.326311819,1.93E-11,8.94E-11,1839,2076,1974,1888,2399,2425,ENSG00000168883
USP4,-0.066937082,0.412728164,0.535805476,652,830,714,608,755,721,ENSG00000114316
USP40,0.886036002,2.48E-34,2.50E-33,1117,1279,1270,540,644,613,ENSG00000085982
USP42,0.522437081,4.95E-10,2.13E-09,684,738,745,374,502,498,ENSG00000106346
USP43,0.26109692,0.809243343,0.870982365,1,8,3,2,3,4,ENSG00000154914
USP45,-0.406705255,9.74E-07,3.40E-06,499,620,579,592,742,706,ENSG00000123552
USP46,-1.757603296,4.08E-55,6.26E-54,225,188,207,548,711,651,ENSG00000109189
USP46-DT,1.181144564,0.005284301,0.012305294,26,45,32,12,17,12,NA
USP47,0.12898072,0.023226192,0.047494903,1581,1854,1856,1265,1507,1616,ENSG00000170242
USP48,-0.319017269,2.66E-08,1.03E-07,1258,1397,1334,1297,1627,1596,ENSG00000090686
USP49,0.356730576,0.012469932,0.027065852,202,229,231,137,165,167,ENSG00000164663
USP5,0.154290957,0.000349699,0.000957038,3051,3505,3542,2334,2934,2971,ENSG00000111667
USP50,1.405433339,0.047698313,0.08976255,16,11,11,5,3,5,ENSG00000170236
USP51,1.979907739,1.77E-37,1.93E-36,325,389,395,90,82,81,ENSG00000247746
USP53,-0.718152091,0.028501944,0.056828634,32,23,32,35,49,47,ENSG00000145390
USP54,0.236497565,0.007828415,0.017702447,626,682,634,431,500,567,ENSG00000166348
USP6,0.356977173,0.32813648,0.447237569,32,33,34,22,26,22,ENSG00000129204
USP6NL,-0.340833918,6.44E-05,0.000191061,524,566,594,582,683,667,ENSG00000148429
USP7,-0.817785933,2.77E-72,5.69E-71,2444,2829,2928,3527,4751,4887,ENSG00000187555
USP8,-0.531107556,8.59E-13,4.24E-12,757,897,937,864,1268,1286,ENSG00000138592
USP8P2,-1.10715394,0.786137378,1,0,0,0,0,0,1,NA
USP9X,-0.969305162,2.22E-105,7.23E-104,2535,3048,2828,4328,5427,5170,ENSG00000124486
USPL1,0.186877089,0.048879984,0.091621039,505,535,588,390,448,458,ENSG00000132952
UST,0.764207617,0.025770345,0.052050574,35,59,56,27,19,33,ENSG00000111962
UST-AS2,-0.145370076,0.965047037,1,0,0,1,1,0,0,NA
UTP11,-0.453505187,3.52E-12,1.68E-11,837,1030,997,979,1289,1296,ENSG00000183520
UTP14A,-0.655368237,5.01E-28,4.26E-27,1065,1198,1276,1364,1838,1874,ENSG00000156697
UTP15,-0.643864885,2.14E-34,2.17E-33,1297,1483,1512,1690,2196,2211,ENSG00000164338
UTP18,-0.822311852,3.85E-45,4.91E-44,989,1171,1143,1425,1933,1960,ENSG00000011260
UTP20,-0.313375642,4.32E-11,1.96E-10,2185,2500,2345,2298,2813,2815,ENSG00000120800
UTP23,0.081763781,0.464745052,0.586267929,314,415,386,254,369,335,ENSG00000147679
UTP25,0.18417274,0.004160507,0.009855949,1178,1289,1260,818,1047,1122,NA
UTP3,-0.381196303,2.51E-07,9.15E-07,832,892,950,815,1137,1230,ENSG00000132467
UTP4,-0.549889662,1.12E-34,1.14E-33,2130,2504,2512,2665,3417,3419,ENSG00000141076
UTP6,-0.500373122,1.68E-13,8.62E-13,745,840,866,882,1118,1151,ENSG00000108651
UTRN,-1.476636532,3.43E-74,7.21E-73,389,523,434,950,1242,1208,ENSG00000152818
UTS2R,2.188103004,0.053402894,0.098979652,6,7,7,1,3,0,ENSG00000181408
UVRAG,0.099080493,0.223770022,0.330639214,673,716,737,521,669,613,ENSG00000198382
UVRAG-DT,2.104215995,0.021555146,0.044415565,9,12,8,3,2,1,NA
UVSSA,-0.250688753,0.041393861,0.079368229,226,253,252,231,280,278,ENSG00000163945
UXS1,-0.684712008,2.83E-26,2.29E-25,771,868,884,1032,1322,1332,ENSG00000115652
UXT,-0.17583483,0.115913742,0.192476693,335,410,413,303,400,490,ENSG00000126756
UXT-AS1,0.898101116,0.00190628,0.00475438,60,68,62,24,36,33,ENSG00000267064
VAC14,1.837112928,1.50E-199,1.31E-197,2173,2477,2506,510,671,639,ENSG00000103043
VAC14-AS1,-0.697008821,0.262682352,0.37504182,8,11,8,20,8,10,ENSG00000214353
VAMP1,-0.133099913,0.17836057,0.274908983,363,419,423,340,423,437,ENSG00000139190
VAMP2,0.34911235,0.000787675,0.002068385,386,479,463,255,341,352,ENSG00000220205
VAMP3,-1.726916751,6.15E-242,7.57E-240,926,1092,1074,2552,3439,3319,ENSG00000049245
VAMP4,0.38694553,3.41E-05,0.000104131,500,584,575,327,428,397,ENSG00000117533
VAMP5,-0.054542658,0.660721424,0.757692293,236,261,284,207,259,271,ENSG00000168899
VAMP7,0.274720146,0.000245552,0.00068364,783,939,921,544,704,738,ENSG00000124333
VAMP8,-0.621489912,4.32E-05,0.000130588,135,142,170,170,212,244,ENSG00000118640
